Período: 20262;Emitido em: 22/07/2026 08:33 h; Data da última atualização: 22/07/2026 07:50h;
Critérios da busca: 
Não foi especificado nenhum critério de busca
Disciplina;Nome da disciplina;Professor;Créd;Turma;Destino;Vag;Turno;Horário/Sala;Horas a Distância;SHF;Horas de extensão;Pré-Req;Depto;
ACN1005; PROJETO FINAL ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;ACN;2;I;QUA 09-13   ;0;0;0; SIM ;LET;
ACN1006; ESTAGIO SUPERVISIONADO ;SARA FAGUNDES SOARES DE OLIVEIRA;1;1DA;ACN;5;I;TER 11-13   ;6;0;0;NÃO;LET;
ACN1022; TEATRO/MUSICA CULT BRASILEIRA ;DANIEL FERNANDES CASTANHEIRA;4;1DA;ACN;4;I;TER 13-15   QUI 13-15   ;0;0;0;NÃO;LET;
ACN1022; TEATRO/MUSICA CULT BRASILEIRA ;DANIEL FERNANDES CASTANHEIRA;4;1DA;QQC;7;I;TER 13-15   QUI 13-15   ;0;0;0;NÃO;LET;
ACN1028; TOP ESP EM ARTES CENICAS ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;ACN;4;I;QUA 13-17   ;0;0;0;NÃO;LET;
ACN1028; TOP ESP EM ARTES CENICAS ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;QQC;9;I;QUA 13-17   ;0;0;0;NÃO;LET;
ACN1031; TOP ESP EM ARTES CENICAS ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;ACN;8;I;TER 13-17   ;0;0;0;NÃO;LET;
ACN1031; TOP ESP EM ARTES CENICAS ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;CCI;1;I;TER 13-17   ;0;0;0;NÃO;LET;
ACN1031; TOP ESP EM ARTES CENICAS ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;QQC;8;I;TER 13-17   ;0;0;0;NÃO;LET;
ACN1033; TOP ESP EM ARTES CENICAS ;PEDRO MOURTHE KOSOVSKI;4;1DA;ACN;8;I;QUI 13-17   ;0;0;0;NÃO;LET;
ACN1033; TOP ESP EM ARTES CENICAS ;PEDRO MOURTHE KOSOVSKI;4;1DA;CCI;2;I;QUI 13-17   ;0;0;0;NÃO;LET;
ACN1033; TOP ESP EM ARTES CENICAS ;PEDRO MOURTHE KOSOVSKI;4;1DA;QQC;7;I;QUI 13-17   ;0;0;0;NÃO;LET;
ACN1035; TOP ESP EM ARTES CENICAS ;FERNANDA COUTINHO BOND;4;1DA;ACN;9;I;SEG 09-13   ;0;0;0;NÃO;LET;
ACN1035; TOP ESP EM ARTES CENICAS ;FERNANDA COUTINHO BOND;4;1DA;CCI;1;I;SEG 09-13   ;0;0;0;NÃO;LET;
ACN1035; TOP ESP EM ARTES CENICAS ;FERNANDA COUTINHO BOND;4;1DA;QQC;4;I;SEG 09-13   ;0;0;0;NÃO;LET;
ACN1038; CURADORIA E PROD EM ART E CULT ;FERNANDA COUTINHO BOND;4;1DA;ACN;9;I;SEG 13-17   ;0;0;60;NÃO;LET;
ACN1038; CURADORIA E PROD EM ART E CULT ;FERNANDA COUTINHO BOND;4;1DA;CCI;1;I;SEG 13-17   ;0;0;60;NÃO;LET;
ACN1038; CURADORIA E PROD EM ART E CULT ;FERNANDA COUTINHO BOND;4;1DA;QQC;2;I;SEG 13-17   ;0;0;60;NÃO;LET;
ACN1103; PROJETO - INTERPRETAÇÃO ;ANA MARIA BARCELLOS KFOURI;8;1DA;ACN;1;I;TER 09-13   QUI 09-13   ;0;0;10;NÃO;LET;
ACN1103; PROJETO - INTERPRETAÇÃO ;ANA MARIA BARCELLOS KFOURI;8;1DA;CCI;2;I;TER 09-13   QUI 09-13   ;0;0;10;NÃO;LET;
ACN1103; PROJETO - INTERPRETAÇÃO ;ANA MARIA BARCELLOS KFOURI;8;1DA;QQC;7;I;TER 09-13   QUI 09-13   ;0;0;10;NÃO;LET;
ADM1000; COMO FUNCIONA UM NEGOCIO ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GA;QQC;8;I;TER 11-13   QUI 11-13   ;0;0;0;NÃO;ADM;
ADM1000; COMO FUNCIONA UM NEGOCIO ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GB;QQC;0;I;TER 09-11   QUI 09-11   ;0;0;0;NÃO;ADM;
ADM1000; COMO FUNCIONA UM NEGOCIO ;MARIA ISABEL PEIXOTO GUIMARAES;4;2GC;QQC;22;I;SEG 19-21   QUA 19-21   ;0;0;0;NÃO;ADM;
ADM1001; INTEGRADORA PA I ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GA;ADM;5;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1001; INTEGRADORA PA I ;MILA LIMA DESOUZART;4;2GB;ADM;5;I;TER 11-13   QUI 11-13   ;0;1;0; SIM ;ADM;
ADM1001; INTEGRADORA PA I ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;ADM;5;I;TER 19-21   QUI 19-21   ;0;1;0; SIM ;ADM;
ADM1011; OFICINA GESTÃO DA APRENDIZAGEM ;MARIA ISABEL PEIXOTO GUIMARAES;2;2GA;QQC;7;I;SEX 09-11   ;0;0;0;NÃO;ADM;
ADM1011; OFICINA GESTÃO DA APRENDIZAGEM ;MARIA ISABEL PEIXOTO GUIMARAES;2;2GB;QQC;6;I;SEX 11-13   ;0;0;0;NÃO;ADM;
ADM1012; OFIC TOM DECISÃO - ESTAG SUP ;PATRICIA ITALA FERREIRA;2;2GA;ADM;25;I;SEX 09-11   ;0;2;0; SIM ;ADM;
ADM1012; OFIC TOM DECISÃO - ESTAG SUP ;PATRICIA ITALA FERREIRA;2;2GB;ADM;23;I;SEX 11-13   ;0;2;0; SIM ;ADM;
ADM1012; OFIC TOM DECISÃO - ESTAG SUP ;MARIA ISABEL PEIXOTO GUIMARAES;2;2GC;ADM;24;I;QUA 17-19   ;0;2;0; SIM ;ADM;
ADM1013; MENTORIA EM FINANCAS ;SHEILA DE BARCELLOS MAIA;1;2GA;ADM;29;I;GAVEA;0;1;0; SIM ;ADM;
ADM1013; MENTORIA EM FINANCAS ;HORISTA A CONTRATAR;1;2GB;ADM;26;I;GAVEA;0;1;0; SIM ;ADM;
ADM1013; MENTORIA EM FINANCAS ;HORISTA A CONTRATAR;1;2GC;ADM;28;I;GAVEA;0;1;0; SIM ;ADM;
ADM1014; MENTORIA EM MARKETING ;ANDRE LUIZ ROIZMAN;1;2GA;ADM;28;I;GAVEA;0;1;0;NÃO;ADM;
